TRAESCS3A02G233000	TRAESCS3A02G233000	8.73	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS3A02G233000&keyword=yield%2520OR%2520grain
TRAESCS3D02G046000	LRK10L-1.1	8.42	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS3D02G046000&keyword=yield%2520OR%2520grain
TRAESCS1D02G067800	IVD	7.91	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS1D02G067800&keyword=yield%2520OR%2520grain
TRAESCS1D02G289300	RBOHJ	7.63	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS1D02G289300&keyword=yield%2520OR%2520grain
TRAESCS2D02G137300	TRAESCS2D02G137300	7.46	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS2D02G137300&keyword=yield%2520OR%2520grain
TRAESCS6D02G126100	TRAESCS6D02G126100	7.46	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS6D02G126100&keyword=yield%2520OR%2520grain
TRAESCS7A02G407200	TRAESCS7A02G407200	7.46	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS7A02G407200&keyword=yield%2520OR%2520grain
TRAESCS3A02G319000	TRAESCS3A02G319000	7.46	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS3A02G319000&keyword=yield%2520OR%2520grain
TRAESCS5B02G010800	RXW8	7.46	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS5B02G010800&keyword=yield%2520OR%2520grain
TRAESCS4B02G260400	SURF1	7.26	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS4B02G260400&keyword=yield%2520OR%2520grain
TRAESCS1D02G218600	MED31	7.26	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS1D02G218600&keyword=yield%2520OR%2520grain
TRAESCS1D02G172600	LIG1	7.26	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS1D02G172600&keyword=yield%2520OR%2520grain
TRAESCS5B02G016900	RBL	7.26	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS5B02G016900&keyword=yield%2520OR%2520grain
